SI,ES,2019,Quarter,1,LHP_LPF_0_0_0,SubDiv,27.8.d.2,NA,HOM,NA,L,R,NA,H,M,NA,t,0,0,-9,NA,NA,NA,,,,,,,,,
HI,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.b,NA,kWd,11688.4,NA,,,,,,,,,,,,,,,,,,,,,
SI,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.b,NA,HOM,NA,L,R,NA,H,M,NA,t,0.0296,0.0296,-9,NA,NA,NA,,,,,,,,,
HI,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.c,NA,kWd,16323.2,NA,,,,,,,,,,,,,,,,,,,,,
SI,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.c,NA,HOM,NA,L,R,NA,H,M,NA,t,0.16189,0.16189,-9,NA,NA,NA,,,,,,,,,
SD,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.c,NA,HOM,NA,L,R,N,lngt,25,-9,100,1,26,-9,-9,kg,k,cm,cm,NA,0.0248505,0.140711,25,-9,-9,-9
SD,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.c,NA,HOM,NA,L,R,N,lngt,26,-9,100,1,26,-9,-9,kg,k,cm,cm,NA,0.0745514,0.157984,26,-9,-9,-9
SD,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.c,NA,HOM,NA,L,R,N,lngt,27,-9,100,1,26,-9,-9,kg,k,cm,cm,NA,0.0745514,0.176619,27,-9,-9,-9
SD,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.c,NA,HOM,NA,L,R,N,lngt,28,-9,100,1,26,-9,-9,kg,k,cm,cm,NA,0.0497009,0.196666,28,-9,-9,-9
SD,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.c,NA,HOM,NA,L,R,N,lngt,29,-9,100,1,26,-9,-9,kg,k,cm,cm,NA,0.0248505,0.218179,29,-9,-9,-9
SD,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.c,NA,HOM,NA,L,R,N,lngt,30,-9,100,1,26,-9,-9,kg,k,cm,cm,NA,0.0745514,0.241209,30,-9,-9,-9
SD,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.c,NA,HOM,NA,L,R,N,lngt,31,-9,100,1,26,-9,-9,kg,k,cm,cm,NA,0.0745514,0.265807,31,-9,-9,-9
SD,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.c,NA,HOM,NA,L,R,N,lngt,32,-9,100,1,26,-9,-9,kg,k,cm,cm,NA,0.0745514,0.292026,32,-9,-9,-9
SD,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.c,NA,HOM,NA,L,R,N,lngt,33,-9,100,1,26,-9,-9,kg,k,cm,cm,NA,0.124252,0.319918,33,-9,-9,-9
SD,ES,2019,Quarter,1,LLS_DEF_0_0_0,Div,27.8.c,NA,HOM,NA,L,R,N,lngt,35,-9,100,1,26,-9,-9,kg,k,cm,cm,NA,0.0497009,0.380929,35,-9,-9,-9
HI,ES,2019,Quarter,1,OTB_DEF_>=55_0_0,Div,27.8.c,NA,kWd,40756,NA,,,,,,,,,,,,,,,,,,,,,
SI,ES,2019,Quarter,1,OTB_DEF_>=55_0_0,Div,27.8.c,NA,HOM,NA,L,R,NA,H,M,NA,t,3.30298,3.30298,-9,NA,NA,NA,,,,,,,,,
